"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets Note","Previous Budgets","2014 Adopted","2015 Forecast","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast"
"Assessment Automation","Assessment and Taxation","1400000115","Prosperity","Assessment, Taxation and Corporate","See Capital Budget Book Detail Page",,"0","750,000","500,000","350,000","320,000","350,000"
"Local Improvements - Ongoing Program","Assessment and Taxation","1420000114","Vitality","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000"
"PeopleSoft Accounts Receivable and Billing","Corporate Finance","1200001514","Sustainability","Organizational Support Services",,"550,000","250,000","0","0","0","0","0"
"Corporate Records Centre","City Clerks","400000917","Heritage ","Council Services",,"725,000","0","0","0","150,000","0","0"
"Election Systems","City Clerks","400000514","Prosperity","Council Services","See Capital Budget Book Detail Page",,"200,000","0","0","200,000","200,000","0"
"City Archives","City Clerks","400000114","Heritage ","Council Services",,"2,000,000","1,500,000","0","0","0","0","0"
"DMIS Upgrades / Replacement","City Clerks","400001518","Prosperity","Council Services",,"0","0","0","0","0","250,000","0"
"2017 Canada Summer Games","City Clerks","400001614","OurWinnipeg Action Plan","Arts, Entertainment and Culture",,"0","750,000","750,000","750,000","750,000","0","0"
"Community Incentive Grant Program","Community Services","6251000114","Recreation","Neighbourhood Revitalization","See Capital Budget Book Detail Page",,"1,600,000","1,632,000","1,665,000","1,698,000","1,732,000","1,767,000"
"Library Interior Infrastructure Replacement Program ","Community Services","6211000514","Libraries","Libraries","See Capital Budget Book Detail Page",,"200,000","200,000","200,000","300,000","306,000","312,000"
"Library Facility Redevelopment - Transcona Library","Community Services","6213000114","Libraries","Libraries",,"0","5,383,000","0","0","0","0","0"
"Library Facility Redevelopment - River Heights Library","Community Services","6213000115","Libraries","Libraries",,"0","100,000","5,560,000","0","0","0","0"
"Library Facility Redevelopment - Westwood Library","Community Services","6213000117","Libraries","Libraries",,"0","100,000","0","0","1,468,000","0","0"
"Library Facility Redevelopment - St. James Library","Community Services","6213000118","Libraries","Libraries",,"0","0","0","0","0","6,492,000","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure","Community Services","6210634116","Libraries","Libraries","See Capital Budget Book Detail Page",,"0","0","500,000","500,000","510,000","520,000"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: Cornish Library","Community Services","6210634114","Libraries","Libraries","See Capital Budget Book Detail Page",,"250,000","2,250,000","0","0","0","0"
"Library Refurbishment and Redevelopment Program - Existing Infrastructure: St. John's Library","Community Services","6210634214","Libraries","Libraries","See Capital Budget Book Detail Page",,"250,000","2,250,000","0","0","0","0"
"Library Technology Upgrade and Replacement Program","Community Services","626200014","Libraries","Libraries","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","510,000","520,000"
"Recreational Facility Safety and Accessibility Improvements Program","Community Services","62500000114","Recreation","Recreation","See Capital Budget Book Detail Page",,"500,000","500,000","600,000","600,000","612,000","624,000"
"Library Facility Safety and Accessibility Improvements Program","Community Services","6210634514","Libraries","Libraries","See Capital Budget Book Detail Page",,"200,000","200,000","200,000","200,000","204,000","208,000"
"Business Application Systems","Community Services","6260000113","Recreation","Recreation",,"250,000","0","0","0","250,000","306,000","312,000"
"Recreation Equipment Program ","Community Services","6251000215","Recreation","Recreation","See Capital Budget Book Detail Page",,"0","400,000","0","400,000","0","400,000"
"Technology Upgrade and Replacement Program","Community Services","6262000114","Recreation","Recreation","See Capital Budget Book Detail Page",,"250,000","0","0","0","306,000","0"
"Recreation Facility Replacement - New Infrastructure","Community Services","6253000114","Recreation","Recreation",,"0","350,000","0","0","7,301,000","0","3,276,000"
"Recreation Refurbishment and Redevelopment Program - Existing Infrastructure","Community Services","6251000216","Recreation","Recreation","See Capital Budget Book Detail Page",,"0","0","1,500,000","0","1,040,000","1,040,000"
"Community Centre Renovation Grant Program (CCReno)","Community Services","6252000114","Recreation","Recreation","See Capital Budget Book Detail Page",,"965,000","965,000","965,000","965,000","965,000","965,000"
"Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability","Community Services","6206402014","Creativity","Arts, Entertainment and Culture","See Capital Budget Book Detail Page",,"5,123,000","5,123,000","5,123,000","5,123,000","5,123,000","5,123,000"
"Assiniboine Park Conservancy (APC) - Capital Development Plan","Community Services","6206404014","Creativity","Arts, Entertainment and Culture",,"19,352,000","9,251,000","4,503,000","4,638,000","2,740,000","4,727,000","4,788,000"
"PeopleSoft","Corporate Support Services","3455000014","Prosperity","Organizational Support Services",,"3,080,000","395,000","100,000","100,000","2,400,000","1,000,000","350,000"
"Communications Network Infrastructure","Corporate Support Services","3401200014","Prosperity","Organizational Support Services","See Capital Budget Book Detail Page",,"500,000","275,000","375,000","525,000","230,000","381,000"
"Enterprise Computing Initiatives","Corporate Support Services","3402500014","Prosperity","Organizational Support Services","See Capital Budget Book Detail Page",,"117,000","1,115,000","585,000","844,000","801,000","539,000"
"E-Government","Corporate Support Services","3453000014","Prosperity","Organizational Support Services","See Capital Budget Book Detail Page",,"50,000","50,000","200,000","125,000","150,000","100,000"
"Data Warehouse / Business Intelligence","Corporate Support Services","3456000014","Prosperity","Organizational Support Services","See Capital Budget Book Detail Page",,"578,000","218,000","203,000","149,000","150,000","175,000"
"311 Renewal","Corporate Support Services","3457000014","Prosperity","Organizational Support Services",,"300,000","346,000","354,000","335,000","352,000","450,000","370,000"
"Teraspan Fibre Ring Renewal","Corporate Support Services","3462200014","Prosperity","Organizational Support Services",,"0","0","0","400,000","800,000","0","0"
"Plessis Road Interceptor","Water and Waste","2037001317","Environment","Wastewater",,"0","0","0","0","5,500,000","0","0"
"Infrastructure Service Enhancements","Corporate Support Services","3454000014","Prosperity","Organizational Support Services",,"0","100,000","250,000","0","125,000","50,000","100,000"
"Document Management","Corporate Support Services","3470000014","Prosperity","Organizational Support Services",,"0","300,000","275,000","0","50,000","0","0"
"Facilities Replacement and Relocation Program","Fire Paramedic Service","211101XXXX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response","See Capital Budget Book Detail Page",,"0","892,000","3,120,000","116,000","1,217,000","6,339,000"
"Replacement Radio System","Fire Paramedic Service","21010100XX","Emergency Preparedness, Response and Recovery","Fire and Rescue Response",,"0","0","2,000,000","4,000,000","0","0","0"
"Addition and Renovation to Fire Paramedic Station #8-640 Kimberly Avenue","Fire Paramedic Service","2111010818","Emergency Preparedness, Response and Recovery","Fire and Rescue Response",,"0","0","0","0","1,152,000","2,008,000","0"
"General Building Renovation and Refurbishing","Municipal Accommodations","63310000214","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","500,000","500,000"
"Accommodation Facilities ","Municipal Accommodations","6395000114","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"1,730,000","2,100,000","1,239,000","2,251,000","1,994,000","1,863,000"
"Fire / Life Safety / Regulatory Upgrades","Municipal Accommodations","6331000414","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"1,014,000","725,000","625,000","710,000","719,800","759,000"
"Energy Conservation","Municipal Accommodations","6331000614","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"300,000","100,000","100,000","150,000","140,000","158,000"
"Tenant Improvement Prepayment - Major Department","Municipal Accommodations","6331002314","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"0","200,000","200,000","180,000","193,333","155,000"
"Historic Buildings  ","Municipal Accommodations","6331000714","Prosperity","Heritage Conservation","See Capital Budget Book Detail Page",,"200,000","200,000","200,000","200,000","270,000","214,000"
"Generator Set Replacement and Upgrades","Municipal Accommodations","`6331020815","Prosperity","Property Asset Management",,"100,000","0","200,000","0","200,000","166,667","113,000"
"Security / Building Automation System Initiatives","Municipal Accommodations","6331002614","Prosperity","Property Asset Management",,"1,050,000","225,000","225,000","140,000","188,000","200,600","196,000"
"Community Centres - Refurbishing and Improvements","Municipal Accommodations","6390000114","Prosperity","Recreation","See Capital Budget Book Detail Page",,"700,000","700,000","700,000","620,000","644,000","673,000"
"Arenas","Municipal Accommodations","6391000114","Prosperity","Recreation","See Capital Budget Book Detail Page",,"2,125,000","725,000","525,000","525,000","525,000","525,000"
"Indoor Aquatic Facilities","Municipal Accommodations","6392000114","Prosperity","Recreation","See Capital Budget Book Detail Page",,"1,050,000","1,760,000","1,760,000","2,530,000","2,470,000","2,518,000"
"Pan Am Pool - Boiler System Replacement","Municipal Accommodations","6392010114","Prosperity","Property Asset Management",,"0","830,000","770,000","770,000","0","0","0"
"Seven Oaks Pool  - Parking Lot Upgrade ","Municipal Accommodations","6392020114","Prosperity","Recreation",,"0","650,000","0","0","0","0","0"
"Seven Oaks Indoor Pool - Renewal Plan","Municipal Accommodations","6392030114","Prosperity","Recreation",,"0","0","3,729,000","0","0","0","0"
"Outdoor Aquatic Facilities","Municipal Accommodations","6393000114","Prosperity","Recreation","See Capital Budget Book Detail Page",,"330,000","330,000","350,000","342,000","340,400","338,000"
"Community Facilities","Municipal Accommodations","6394000114","Prosperity","Recreation","See Capital Budget Book Detail Page",,"200,000","200,000","200,000","200,000","260,000","212,000"
"Building Asset / Work Management Program","Municipal Accommodations","6390001014","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"200,000","200,000","162,000","152,000","162,800","175,000"
"UFF - Hockey Pen Light Standard Replacement","Municipal Accommodations","6390002014","Prosperity","Recreation","See Capital Budget Book Detail Page",,"100,000","100,000","100,000","100,000","100,000","100,000"
"City-Wide Accessibility Program","Municipal Accommodations","6390005014","Prosperity","Neighbourhood Revitalization","See Capital Budget Book Detail Page",,"350,000","350,000","350,000","350,000","350,000","350,000"
"Transcona Centennial Pool","Municipal Accommodations","6392010113","Recreation","Recreation",,"5,500,000","300,000","0","0","0","0","0"
"Sherbrook Pool Reopening","Municipal Accommodations","6392040114","Prosperity","Recreation",,"0","1,000,000","0","0","0","0","0"
"St. James Civic Centre","Municipal Accommodations","6394010115","Prosperity","Recreation",,"0","0","900,000","900,000","0","0","0"
"Valley Gardens Community Club - Splash Pad","Municipal Accommodations","6393010114","Prosperity","Recreation",,"0","100,000","0","0","0","0","0"
"Machray Park - Splash Pad","Municipal Accommodations","6393020114","Prosperity","Recreation",,"0","425,000","0","0","0","0","0"
"East Yard Complex Development","Municipal Accommodations","6331000512","Prosperity","Property Asset Management",,"49,520,000","0","0","0","0","0","0"
"Computer Automation","Planning, Property and Development","6361000414","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"200,000","0","200,000","120,000","144,000","133,000"
"Riverbank Greenway Programs","Planning, Property and Development","6351300114","Environment","Parks and Urban Forestry",,"3,105,000","200,000","600,000","443,000","405,000","406,000","411,000"
"Cemeteries - Improvements","Planning, Property and Development","6322100114","Vitality","Cemeteries",,"3,566,000","350,000","410,000","382,000","408,000","400,000","390,000"
"Downtown Enhancement Program","Planning, Property and Development","6351800114","Creativity","City Beautification",,"4,617,500","400,000","400,000","400,000","400,000","400,000","400,000"
"BIZ Zones, Image Routes and Neighbourhood Main Streets","Planning, Property and Development","6351241514","Creativity","City Beautification","See Capital Budget Book Detail Page",,"400,000","400,000","400,000","400,000","400,000","400,000"
"Public Art Strategy","Planning, Property and Development","6351400714","Creativity","City Beautification",,"4,600,000","500,000","500,000","500,000","500,000","500,000","500,000"
"Land Acquisition for General Unspecified Purposes","Planning, Property and Development","6321100115","Prosperity","Property Asset Management","See Capital Budget Book Detail Page",,"0","300,000","300,000","300,000","240,000","228,000"
"Developer Payback","Planning, Property and Development","6351000214","Environment","Parks and Urban Forestry",,"1,495,000","380,000","245,000","275,000","280,000","278,000","292,000"
"Tache Promenade","Planning, Property and Development","6351800413","Creativity","City Beautification",,"0","200,000","0","0","0","0","0"
"Riverbank Stabilization - Physical Asset Protection","Planning, Property and Development","6351300214","Environment","Parks and Urban Forestry",,"8,800,000","600,000","1,400,000","1,000,000","1,000,000","1,000,000","1,000,000"
"Building Communities Initiative II, Phase Two","Planning, Property and Development","6351200014","Key Directions for Specific City Areas ","Neighbourhood Revitalization","See Capital Budget Book Detail Page","15,500","3,200,000","1,300,000","0","0","0","0"
"Building Communities Initiative III","Planning, Property and Development","6351200016","Key Directions for Specific City Areas ","Neighbourhood Revitalization",,"0","0","0","2,100,000","2,120,000","2,000,000","3,780,000"
"Recreational Walkways and Bike Paths - Various Locations","Public Works","1832000114","Recreation","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","500,000","500,000"
"New Regional Sidewalks","Public Works","1832000214","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"250,000","250,000","250,000","250,000","250,000","250,000"
"Active Transportation Corridors","Public Works","1832000314","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"1,000,000","500,000","500,000","500,000","500,000","500,000"
"Developer Payback - Various Locations","Public Works","1807000114","Key Directions for the Entire City","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"127,000","3,000,000","0","7,000,000","0","0"
"Tuxedo Yards Development","Public Works","1807000514","Opportunity","Roadway Construction and Maintenance",,"9,050,000","700,000","1,100,000","1,600,000","2,100,000","3,730,000","3,467,000"
"Transportation Master Plan","Public Works","1833000114","Sustainability","Transportation Planning and Traffic Management","See Capital Budget Book Detail Page",,"250,000","250,000","250,000","250,000","250,000","250,000"
"Traffic Signals Improvements ","Public Works","1831100114","Sustainability","Transportation Planning and Traffic Management","See Capital Budget Book Detail Page",,"1,030,000","1,030,000","1,030,000","1,030,000","1,030,000","1,030,000"
"Traffic Engineering Improvements - Various Locations","Public Works","1831000114","Key Directions for the Entire City","Transportation Planning and Traffic Management","See Capital Budget Book Detail Page",,"1,100,000","1,100,000","1,100,000","1,100,000","1,100,000","1,100,000"
"Almey Avenue at Ravelston Avenue West - Closing ","Public Works","1803000414","Key Directions for the Entire City","Roadway Construction and Maintenance",,"0","200,000","0","0","0","0","0"
"Kenaston Boulevard - Ness Avenue to Taylor Avenue","Public Works","1803000614","Key Directions for Specific City Areas ","Roadway Construction and Maintenance",,"3,100,000","100,000","100,000","100,000","3,345,000","100,000","2,263,000"
"Panet Rd / Molson St Twinning - Munroe Ave to Grassie Blvd","Public Works","1803000113","Key Directions for the Entire City","Roadway Construction and Maintenance",,"7,400,000","2,600,000","0","0","0","0","0"
"Marion Street Widening / Grade Separation and Improvements - Rue Archibald to Lagimodiere Boulevard","Public Works","1803000313","Key Directions for the Entire City","Roadway Construction and Maintenance",,"1,250,000","0","5,200,000","0","0","0","0"
"Polo Park - Infrastructure Improvements ","Public Works","1803000213","Key Directions for Specific City Areas ","Roadway Construction and Maintenance",,"30,000,000","10,000,000","0","0","0","0","0"
"Regional and Local Street Renewal","Public Works","1804000114","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"84,187,000","71,668,000","63,549,000","72,658,000","73,225,000","90,502,000"
"Louise Bridge (Red River) ","Public Works","1805001414","Key Directions for the Entire City","Roadway Construction and Maintenance",,"0","2,081,000","0","2,000,000","0","0","0"
"CPR Yards Functional Crossing Study - between McPhillips Street and Main Street","Public Works","1833000217","Key Directions for the Entire City","Transportation Planning and Traffic Management",,"1,500,000","0","0","0","2,000,000","0","0"
"Fermor Avenue Bridge (Seine River) ","Public Works","1805001916","Sustainability","Roadway Construction and Maintenance",,"0","0","0","500,000","700,000","6,800,000","0"
"Saskatchewan Avenue Culvert (Sturgeon Creek) ","Public Works","1805002016","Sustainability","Roadway Construction and Maintenance",,"0","0","0","1,000,000","1,000,000","8,000,000","0"
"Pembina Highway Underpass","Public Works","1805002218","Key Directions for the Entire City","Roadway Construction and Maintenance",,"1,300,000","0","0","0","0","6,000,000","0"
"St. James Street Bridge (Omand's Creek)","Public Works","1805001313","Sustainability","Roadway Construction and Maintenance",,"700,000","1,961,000","0","0","0","0","0"
"Ness Avenue Culvert (Sturgeon Creek)","Public Works","1805001514","Sustainability","Roadway Construction and Maintenance",,"0","1,000,000","2,000,000","11,000,000","0","0","0"
"Portage Avenue Bridge (Sturgeon Creek)","Public Works","1805000212","Sustainability","Roadway Construction and Maintenance",,"1,200,000","4,500,000","0","0","0","0","0"
"Saskatchewan Avenue Bridge (Omand's Creek)","Public Works","1805001615","Sustainability","Roadway Construction and Maintenance",,"0","0","700,000","2,300,000","0","0","0"
"Lyndale Drive - Retaining Wall Rehabilitation","Public Works","1805001715","Sustainability","Roadway Construction and Maintenance",,"0","0","500,000","500,000","3,000,000","0","0"
"Osborne Street Underpass","Public Works","1805002319","Sustainability","Roadway Construction and Maintenance",,"0","0","0","0","0","0","2,500,000"
"Dublin Avenue Bridge (Omand's Creek) ","Public Works","1805002118","Sustainability","Roadway Construction and Maintenance",,"0","0","0","0","0","500,000","500,000"
"Sherwin Road Bridge (Omand's Creek) ","Public Works","1805002419","Sustainability","Roadway Construction and Maintenance",,"0","0","0","0","0","0","700,000"
"Waterway Crossing and Grade Separations - Annual Program","Public Works","1805000114","Key Directions for the Entire City","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"2,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000"
"Disraeli Bridge and Overpass Facility","Public Works","1805100114","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"0","0","0","0","0","0"
"Charleswood Bridge","Public Works","1805001014","Key Directions for the Entire City","Roadway Construction and Maintenance",,"0","0","0","0","0","0","0"
"Chief Peguis Trail - Henderson Highway to Lagimodiere Boulevard","Public Works","1801000214","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"2,000,000","0","0","0","0","0"
