"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets Note","Previous Budgets","2014 Adopted","2015 Forecast","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast"
"Chief Peguis Trail - Main Street to Route 90","Public Works","1801000214","Sustainability","Roadway Construction and Maintenance",,"0","1,500,000","0","0","0","0","0"
"William Clement Parkway - Grant Avenue to Wilkes Avenue","Public Works","1801000214","Sustainability","Roadway Construction and Maintenance",,"0","800,000","0","0","0","0","0"
"Waverley West Arterial Roads Project","Public Works","1803000110","Key Directions for the Entire City","Roadway Construction and Maintenance",,"64,003,000","5,697,000","0","0","0","0","0"
"Asset Management System - Various Divisions","Public Works","1812000114","Sustainability","Roadway Construction and Maintenance","See Capital Budget Book Detail Page",,"405,000","0","0","100,000","100,000","100,000"
"Land Drainage Sewers - Regional / Local Streets","Public Works","1813000114","Vitality","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"300,000","300,000","300,000","300,000","300,000","300,000"
"Land Acquisition - Transportation Right of Way","Public Works","1834000114","Key Directions for the Entire City","Transportation Planning and Traffic Management","See Capital Budget Book Detail Page",,"300,000","300,000","300,000","300,000","300,000","300,000"
"Reforestation - Improvements","Public Works","1850000114","Environment","Parks and Urban Forestry","See Capital Budget Book Detail Page",,"1,000,000","383,000","383,000","383,000","383,000","383,000"
"Athletic Fields - Improvements","Public Works","1852000114","Environment","Parks and Urban Forestry","See Capital Budget Book Detail Page",,"1,000,000","124,000","200,000","200,000","200,000","200,000"
"Parks - Improvements","Public Works","1853000114","Environment","Parks and Urban Forestry","See Capital Budget Book Detail Page",,"653,000","655,000","655,000","655,000","655,000","655,000"
"Regional and Community Parks - Buildings","Public Works","1854000114","Environment","Parks and Urban Forestry",,"1,350,000","2,000,000","0","2,150,000","0","0","100,000"
"Burton Cummings Community Centre - Fitness Trail","Public Works","1855000114","Environment","Parks and Urban Forestry",,"0","125,000","0","0","0","0","0"
"Hardsurface Upgrading","Public Works","1856000114","Environment","Parks and Urban Forestry","See Capital Budget Book Detail Page",,"150,000","0","150,000","150,000","150,000","150,000"
"Parks and Recreation Enhancement Program","Public Works","1857000114","Environment","Parks and Urban Forestry","See Capital Budget Book Detail Page",,"6,300,000","3,300,000","3,300,000","3,300,000","3,300,000","3,300,000"
"Insect Control - Information System","Public Works","1858000215","Environment","Insect Control",,"0","0","1,250,000","0","0","0","0"
"Insect Control - Replace 3 Grey Street Operations Building","Public Works","1858000318","Environment","Insect Control",,"0","0","0","0","0","1,000,000","0"
"Dutch Elm Disease Strategy ","Public Works","1858000114","Environment","Parks and Urban Forestry",,"2,754,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000","2,600,000"
"Innovative Transit Program","Transit","4230030114","Environment","Public Transit","See Capital Budget Book Detail Page",,"800,000","800,000","1,000,000","1,000,000","1,000,000","1,000,000"
"Transit Building Replacement / Refurbishment","Transit","4210000314","Environment","Public Transit",,"32,618,000","15,115,000","9,869,000","4,500,000","4,573,000","4,506,000","7,036,000"
"Transit Buses","Transit","4210000214","Environment","Public Transit","See Capital Budget Book Detail Page",,"15,367,000","17,307,000","22,737,000","23,884,000","24,889,000","25,836,000"
"Southwest Rapid Transit Corridor - Stage 2","Transit","4230010514","Environment","Public Transit",,"0","0","15,000,000","127,500,000","0","0","0"
"Fuel Storage Expansion","Transit","4210000414","Environment","Public Transit",,"0","500,000","0","0","0","0","0"
"Automated Fingerprint Identification System (AFIS) ","Winnipeg Police Service","2200000714","Collaborate to Make Safe Communities","Police Response",,"179,000","321,000","0","0","0","0","500,000"
"Officer Mobile Video System","Winnipeg Police Service","2202100016","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","1,000,000","0","0"
"Trunk Radio System","Winnipeg Police Service","2202200016","Collaborate to Make Safe Communities","Police Response",,"0","0","2,000,000","5,280,000","0","0","0"
"Radio Upgrade for Districts 3 and 4","Winnipeg Police Service","2202300016","Collaborate to Make Safe Communities","Police Response",,"0","0","0","490,000","0","0","0"
"Police Divisions Systems Upgrades","Winnipeg Police Service","2201100014","Collaborate to Make Safe Communities","Police Response",,"1,423,000","3,743,000","2,986,000","1,400,000","0","0","0"
"North Station Information Technology Requirements","Winnipeg Police Service","2201700014","Collaborate to Make Safe Communities","Police Response",,"0","0","490,000","0","0","0","0"
"East District Police Station","Winnipeg Police Service","6331002813","Collaborate to Make Safe Communities","Police Response",,"13,925,000","0","0","0","0","0","0"
"North District Police Station","Winnipeg Police Service","6331003014","Collaborate to Make Safe Communities","Police Response",,"3,130,000","0","0","0","19,423,000","0","0"
"Winnipeg Police Headquarters Redevelopment","Winnipeg Police Service","6331001911","Collaborate to Make Safe Communities","Police Response",,"193,567,000","0","0","0","0","0","0"
"Building Video Surveillance Systems","Winnipeg Police Service","2202400017","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","4,160,000","0"
"Communication Centre Back Up Site Upgrade","Winnipeg Police Service","2202500017","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","400,000","0","0"
"Security and Card Access","Winnipeg Police Service","2201800014","Collaborate to Make Safe Communities","Police Response",,"0","400,000","0","0","0","0","0"
"Kenaston Boulevard Interceptor","Water and Waste","2037001417","Environment","Wastewater",,"0","0","0","0","4,000,000","0","0"
"Mobile and Transient Users","Winnipeg Police Service","2202600016","Collaborate to Make Safe Communities","Police Response",,"0","0","0","250,000","0","0","0"
"Intelligence Led Reporting (Phase 2)","Winnipeg Police Service","2202600018","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","1,050,000","0"
"Major Case Management System Expansion","Winnipeg Police Service","2202700017","Collaborate to Make Safe Communities","Police Response",,"0","0","0","1,158,000","0","0","500,000"
"WPS Data Integration, Auditing and Quality Solution Tool","Winnipeg Police Service","2202900018","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","662,000","0"
"Bomb Unit Building","Winnipeg Police Service","2203000019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","651,000"
"In Car Computing            ","Winnipeg Police Service","22xxxxxx13","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","1,200,000"
"Next Generation 911","Winnipeg Police Service","2203100019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","800,000"
"Bomb Unit Truck Replacement","Winnipeg Police Service","2203500019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","300,000"
"Technology Upgrades - Information Systems","Winnipeg Police Service","2203200019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","1,200,000"
"Golf Course Improvements","Winnipeg Golf Services","639xxxxx10","Recreation","Golf Services (SOA)",,"715,000","0","0","0","0","0","0"
"Stormwater Retention Basin Rehabilitation","Water and Waste","20750001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"50,000","200,000","200,000","600,000","600,000","600,000"
"Flood Pumping Station Rehabilitation","Water and Waste","20765001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"850,000","1,500,000","1,000,000","1,000,000","1,000,000","1,000,000"
"Land Drainage and Combined Sewers Outfall Gate Structures","Water and Waste","20785002yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"700,000","1,700,000","1,800,000","1,300,000","1,500,000","1,500,000"
"Floodplain Management","Water and Waste","20700004yy","Environment","Land Drainage and Flood Control",,"2,323,000","100,000","100,000","0","0","0","0"
"Seine River Waterway Acquisition","Water and Waste","20800001yy","Environment","Land Drainage and Flood Control",,"1,196,000","150,000","150,000","150,000","150,000","150,000","150,000"
"Primary Dike Upgrading","Water and Waste","20700014yy","Environment","Land Drainage and Flood Control",,"4,265,000","0","0","0","1,100,000","1,000,000","1,300,000"
"Land Drainage Utility Study and Implementation","Water and Waste","2070001514","Environment","Land Drainage and Flood Control",,"0","500,000","0","0","0","0","0"
"Permanent Flood Pumping Stations","Water and Waste","20700023yy","Environment","Land Drainage and Flood Control",,"435,000","0","500,000","400,000","400,000","0","0"
"Land Drainage Supervisory Control and Data Acquisition (SCADA) System","Water and Waste","2070002414","Environment","Land Drainage and Flood Control",,"300,000","100,000","0","0","0","0","0"
"Flood Manual Upgrades","Water and Waste","20700012yy","Environment","Land Drainage and Flood Control",,"1,050,000","948,000","300,000","0","0","0","0"
"Outfall Rehabilitation","Water and Waste","20780001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"900,000","1,200,000","1,508,000","2,000,000","2,000,000","1,011,000"
"Development Agreement Paybacks","Water and Waste","20770001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","500,000","0"
"Biosolids - Alternative Disposal Delivery and Management System","Water and Waste","203110004B","Environment","Wastewater",,"44,644,000","5,000,000","40,000,000","71,000,000","61,000,000","0","0"
"Wastewater System Security Upgrades","Water and Waste","20300015yy","Environment","Wastewater","See Capital Budget Book Detail Page",,"200,000","0","0","500,000","500,000","500,000"
"North End Water Pollution Control Centre (NEWPCC) - Main Building HVAC Replacement","Water and Waste","2031002614","Environment","Wastewater",,"100,000","400,000","0","0","0","0","0"
"NEWPCC - Nutrient Removal / Upgrade","Water and Waste","203110013B","Environment","Wastewater",,"33,214,000","10,000,000","100,000,000","130,000,000","130,000,000","106,236,000","38,000,000"
"South End Water Pollution Control Centre (SEWPCC) - Nutrient Removal / Expansion ","Water and Waste","203200xxyy","Environment","Wastewater",,"203,250,000","44,000,000","13,000,000","12,500,000","0","0","0"
"NEWPCC - Environmental Standards Division Laboratory Facility Upgrading","Water and Waste","2030002214","Environment","Wastewater",,"360,000","200,000","0","0","0","0","0"
"West End Water Pollution Control Centre (WEWPCC) - Settling Improvement","Water and Waste","2033000913","Environment","Wastewater",,"250,000","500,000","500,000","0","0","0","0"
"Water Pollution Control Centres (WPCC) - Distributed Control System (DCS) and Human Machine Interface (HMI) Upgrades","Water and Waste","2040000613","Environment","Wastewater",,"5,000,000","0","3,000,000","0","0","0","0"
"WPCC - Asset Refurbishment and Replacement Project","Water and Waste","20300005yy","Environment","Wastewater",,"24,358,000","5,000,000","5,000,000","5,000,000","5,000,000","2,000,000","2,000,000"
"WPCC - Re-roofing","Water and Waste","20300010yy","Environment","Wastewater","See Capital Budget Book Detail Page",,"0","400,000","0","400,000","0","400,000"
"Arc Flash Hazard Analysis and Remediation","Water and Waste","20300018yy","Environment","Wastewater",,"1,350,000","250,000","350,000","300,000","700,000","450,000","250,000"
"Lift Stations Upgrading","Water and Waste","20350001yy","Environment","Wastewater","See Capital Budget Book Detail Page",,"1,600,000","1,750,000","1,750,000","1,750,000","1,750,000","1,750,000"
"Cockburn Lift Station Upgrades to Facilitate Fort Rouge Yards Development","Water and Waste","20350005yy","Environment","Wastewater",,"300,000","0","0","2,000,000","0","0","0"
"Fernbank Interceptor","Water and Waste","2037001116","Environment","Wastewater",,"0","0","0","8,000,000","0","0","0"
"Warde Interceptor Extension","Water and Waste","2037000516","Environment","Wastewater",,"0","0","0","3,200,000","0","0","0"
"River Crossings Monitoring and Rehabilitation","Water and Waste","2037500xyy","Environment","Wastewater","See Capital Budget Book Detail Page",,"0","1,365,000","0","1,365,000","0","1,365,000"
"Wastewater Collection System Buildings Re-Roofing ","Water and Waste","20300024yy","Environment","Wastewater",,"300,000","0","300,000","0","0","100,000","0"
"Wastewater Collection System Reliability ","Water and Waste","2030002315","Environment","Wastewater",,"800,000","0","400,000","0","0","0","0"
"Water and Waste Department GIS Enhancement Program","Water and Waste","20400003yy","Environment","Wastewater",,"100,000","115,000","100,000","100,000","100,000","100,000","100,000"
"Inflow / Infiltration / Cross-Connection Study and Mitigation","Water and Waste","20410001yy","Environment","Wastewater",,"2,943,000","500,000","3,000,000","0","1,500,000","0","0"
"Wastewater Hauling and Grease Trap Licensing Automation","Water and Waste","2040001014","Environment","Wastewater",,"260,000","500,000","0","0","0","0","0"
"Oracle Work Asset Management System Upgrade","Water and Waste","2010000113","Environment","Wastewater",,"135,000","45,000","0","0","0","0","0"
"Laboratory Information Management System Upgrade","Water and Waste","20400008yy","Environment","Wastewater",,"250,000","500,000","500,000","0","0","0","0"
"Building Renovations - 1199 Pacific Avenue","Water and Waste","2030000813","Environment","Wastewater",,"125,000","0","0","0","0","0","55,000"
"Utility Asset Management System","Water and Waste","2040000914","Environment","Wastewater",,"1,000,000","500,000","0","0","0","0","0"
"Correspondence and Bill Generation Upgrades","Water and Waste","2040000214","Environment","Wastewater",,"0","165,000","0","0","0","0","0"
"Information Technology Continuity Business Plan","Water and Waste","2040001014","Environment","Wastewater",,"0","150,000","0","0","0","0","0"
"Combined Sewer Overflow and Basement Flood Management Strategy","Water and Waste","20380001yy","Environment","Wastewater","See Capital Budget Book Detail Page",,"24,349,000","32,615,000","31,730,000","26,890,000","23,810,000","23,810,000"
"Sewer Renewals","Water and Waste","203900xxyy","Environment","Wastewater","See Capital Budget Book Detail Page",,"15,300,000","16,100,000","16,900,000","17,800,000","18,200,000","19,500,000"
"Brady Road Resource Management Facility  - Cell Excavation","Water and Waste","20620004yy","Environment","Solid Waste Collection and Disposal","See Capital Budget Book Detail Page",,"1,440,000","1,456,000","1,508,000","1,508,000","1,508,000","1,500,000"
"Brady Road Resource Management Facility - Drainage, Roadways and Site Improvements","Water and Waste","20620006yy","Environment","Solid Waste Collection and Disposal",,"4,000,000","1,040,000","1,300,000","0","0","0","0"
"Brady Road Resource Management Facility - Landfill Gas Capture Expansion Phase 1","Water and Waste","2062000214","Environment","Solid Waste Collection and Disposal",,"0","566,000","0","0","0","0","0"
"Comprehensive Integrated Waste Management Strategy (CIWMS) - Consulting Support for System Transition","Water and Waste","20650008yy","Environment","Solid Waste Collection and Disposal",,"800,000","200,000","200,000","0","0","0","0"
"Summit Landfill Closure / Post-Closure","Water and Waste","2063000113","Environment","Solid Waste Collection and Disposal",,"2,325,665","0","330,000","0","0","0","0"
"CIWMS - 4R Winnipeg Depots (Community Resource Recovery Centres - West and East)","Water and Waste","20650011yy","Environment","Recycling and Waste Diversion",,"0","3,720,000","3,493,000","0","0","0","0"
"CIWMS - Material Recycling Facility","Water and Waste","2065001216","Environment","Recycling and Waste Diversion",,"200,000","0","0","16,500,000","0","0","0"
"CIWMS - Provision of Automated Recycling and Garbage Collection Carts","Water and Waste","20650007yy","Environment","Solid Waste Collection and Disposal","See Capital Budget Book Detail Page",,"253,000","295,000","330,000","342,000","301,000","294,000"
"Shoal Lake Aqueduct and Falcon River Diversion Bridges","Water and Waste","2001002713","Environment","Water",,"2,000,000","0","2,000,000","0","0","0","0"
"Shoal Lake Aqueduct Asset Preservation","Water and Waste","20030006yy","Environment","Water",,"4,435,000","0","500,000","500,000","500,000","500,000","500,000"
"Shoal Lake Aqueduct Intake Facility Rehabilitation","Water and Waste","20120002yy","Environment","Water",,"2,000,000","530,000","1,100,000","2,000,000","2,000,000","240,000","960,000"
"Branch Aqueduct Condition Assessment and Rehabilitation","Water and Waste","2003000515","Environment","Water",,"1,500,000","0","500,000","0","0","0","0"
"GWWD Railway Bridge Rehabilitation","Water and Waste","2006000314","Environment","Water",,"500,000","2,200,000","0","0","0","0","0"
"Water Treatment Plant Chemical Feed Pump Replacement","Water and Waste","2002500114","Environment","Water",,"140,000","400,000","0","0","0","0","0"
"Ultraviolet Light Disinfection Upgrade / Rehabilitation","Water and Waste","20025004yy","Environment","Water",,"0","400,000","0","4,000,000","0","0","0"
"Deacon Site Flood Protection","Water and Waste","2002500514","Environment","Water",,"0","300,000","1,825,000","0","0","0","0"
"Tache Booster Pumping Station","Water and Waste","2005000615","Environment","Water",,"3,500,000","0","1,800,000","0","0","0","0"
"Pumping Stations Reliability Upgrades","Water and Waste","20050003yy","Environment","Water",,"3,086,000","1,500,000","500,000","1,200,000","0","0","0"
"Pumping Stations and Reservoirs Structural Upgrades","Water and Waste","20050012yy","Environment","Water",,"820,000","3,200,000","900,000","0","450,000","500,000","750,000"
"Chlorination Upgrading at Pumping Stations","Water and Waste","20050011yy","Environment","Water",,"0","0","700,000","800,000","800,000","450,000","0"
"Water Supervisory Control and Data Acquisition (SCADA) Upgrade","Water and Waste","20050002yy","Environment","Water",,"3,800,000","1,100,000","7,400,000","0","0","0","0"
"Waterworks System Security Upgrades","Water and Waste","20010015yy","Environment","Water","See Capital Budget Book Detail Page",,"0","500,000","500,000","500,000","500,000","500,000"
"Regulatory Assessment of Water System Infrastructure and Supply Sources","Water and Waste","2001000715","Environment","Water",,"575,000","0","650,000","0","0","0","0"
"North End Water Pollution Control Centre (NEWPCC) - Environmental Standards Division Laboratory Facility Upgrading","Water and Waste","20010022yy","Environment","Water",,"360,000","200,000","0","0","0","0","0"
"Water Treatment Research and Process Optimization Facility","Water and Waste","2002300614","Environment","Water",,"1,000,000","300,000","0","0","0","0","150,000"
"Water Conservation and Efficiency Study","Water and Waste","2001002815","Environment","Water",,"0","0","230,000","0","0","0","0"
"Saskatchewan Avenue Watermain","Water and Waste","2013500115","Environment","Water",,"0","0","4,400,000","0","0","0","0"
"North Kildonan Feedermain River Crossing Replacement / Rehabilitation","Water and Waste","2004001114","Environment","Water",,"0","3,000,000","0","0","0","0","0"
"Feedermain Condition Assessment and Rehabilitation","Water and Waste","20040007yy","Environment","Water","See Capital Budget Book Detail Page",,"2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","750,000"
"Public Water Outlets","Water and Waste","2001001715","Environment","Water",,"750,000","0","500,000","0","0","0","0"
"Meter Infrastructure Project","Water and Waste ","2001002515","Environment","Water",,"4,075,000","0","500,000","0","0","0","0"
"Water and Waste Department GIS Enhancement Program","Water and Waste","20100003yy","Environment","Water",,"100,000","115,000","100,000","100,000","100,000","100,000","100,000"
"Safety Upgrades - Isolation Valves at Valve and Meter Pits","Water and Waste","20010014yy","Environment","Water",,"231,000","50,000","50,000","0","0","0","0"
"Oracle Work Asset Management System Upgrade","Water and Waste","2010000113","Environment","Water",,"135,000","45,000","0","0","0","0","0"
"Laboratory Information Management System Upgrade","Water and Waste","20100008yy","Environment","Water",,"250,000","500,000","500,000","0","0","0","0"
"Building Renovations - 1199 Pacific Avenue","Water and Waste","2001000813","Environment","Water",,"125,000","0","0","0","0","0","55,000"
"Utility Asset Management System","Water and Waste","2010000914","Environment","Water",,"1,000,000","500,000","0","0","0","0","0"
"Correspondence and Bill Generation Upgrades","Water and Waste","201000214","Environment","Water",,"0","165,000","0","0","0","0","0"
"Information Technology Continuity Business Plan","Water and Waste","2010001014","Environment","Water",,"0","150,000","0","0","0","0","0"
"Watermain Renewals","Water and Waste","201300xxyy","Environment","Water","See Capital Budget Book Detail Page",,"16,000,000","17,000,000","17,000,000","17,500,000","17,500,000","18,000,000"
